game=../Common/res/lud/board/space/territory/Atari Go.lud
START GAME OPTIONS
END GAME OPTIONS
RNG internal state=115,1,58,83,9,-118,115,41
Move=[Move:mover=2,from=162,to=162,actions=[Add:type=Vertex,to=162,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=80,to=80,actions=[Add:type=Vertex,to=80,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=313,to=313,actions=[Add:type=Vertex,to=313,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=202,to=202,actions=[Add:type=Vertex,to=202,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=355,to=355,actions=[Add:type=Vertex,to=355,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=60,to=60,actions=[Add:type=Vertex,to=60,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=141,to=141,actions=[Add:type=Vertex,to=141,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=85,to=85,actions=[Add:type=Vertex,to=85,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=47,to=47,actions=[Add:type=Vertex,to=47,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=66,to=66,actions=[Add:type=Vertex,to=66,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=231,to=231,actions=[Add:type=Vertex,to=231,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=88,to=88,actions=[Add:type=Vertex,to=88,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=301,to=301,actions=[Add:type=Vertex,to=301,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=235,to=235,actions=[Add:type=Vertex,to=235,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=117,to=117,actions=[Add:type=Vertex,to=117,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=4,to=4,actions=[Add:type=Vertex,to=4,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=144,to=144,actions=[Add:type=Vertex,to=144,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=286,to=286,actions=[Add:type=Vertex,to=286,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=338,to=338,actions=[Add:type=Vertex,to=338,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=318,to=318,actions=[Add:type=Vertex,to=318,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=298,to=298,actions=[Add:type=Vertex,to=298,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=8,to=8,actions=[Add:type=Vertex,to=8,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=129,to=129,actions=[Add:type=Vertex,to=129,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=48,to=48,actions=[Add:type=Vertex,to=48,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=181,to=181,actions=[Add:type=Vertex,to=181,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=109,to=109,actions=[Add:type=Vertex,to=109,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=185,to=185,actions=[Add:type=Vertex,to=185,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=264,to=264,actions=[Add:type=Vertex,to=264,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=1,to=1,actions=[Add:type=Vertex,to=1,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=118,to=118,actions=[Add:type=Vertex,to=118,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=177,to=177,actions=[Add:type=Vertex,to=177,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=12,to=12,actions=[Add:type=Vertex,to=12,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=145,to=145,actions=[Add:type=Vertex,to=145,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=282,to=282,actions=[Add:type=Vertex,to=282,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=13,to=13,actions=[Add:type=Vertex,to=13,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=149,to=149,actions=[Add:type=Vertex,to=149,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=260,to=260,actions=[Add:type=Vertex,to=260,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=36,to=36,actions=[Add:type=Vertex,to=36,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=200,to=200,actions=[Add:type=Vertex,to=200,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=226,to=226,actions=[Add:type=Vertex,to=226,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=99,to=99,actions=[Add:type=Vertex,to=99,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=268,to=268,actions=[Add:type=Vertex,to=268,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=230,to=230,actions=[Add:type=Vertex,to=230,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=283,to=283,actions=[Add:type=Vertex,to=283,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=258,to=258,actions=[Add:type=Vertex,to=258,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=27,to=27,actions=[Add:type=Vertex,to=27,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=98,to=98,actions=[Add:type=Vertex,to=98,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=262,to=262,actions=[Add:type=Vertex,to=262,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=2,to=2,actions=[Add:type=Vertex,to=2,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=352,to=352,actions=[Add:type=Vertex,to=352,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=55,to=55,actions=[Add:type=Vertex,to=55,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=86,to=86,actions=[Add:type=Vertex,to=86,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=32,to=32,actions=[Add:type=Vertex,to=32,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=351,to=351,actions=[Add:type=Vertex,to=351,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=327,to=327,actions=[Add:type=Vertex,to=327,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=126,to=126,actions=[Add:type=Vertex,to=126,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=199,to=199,actions=[Add:type=Vertex,to=199,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=337,to=337,actions=[Add:type=Vertex,to=337,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=358,to=358,actions=[Add:type=Vertex,to=358,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=312,to=312,actions=[Add:type=Vertex,to=312,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=274,to=274,actions=[Add:type=Vertex,to=274,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=76,to=76,actions=[Add:type=Vertex,to=76,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=167,to=167,actions=[Add:type=Vertex,to=167,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=112,to=112,actions=[Add:type=Vertex,to=112,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=259,to=259,actions=[Add:type=Vertex,to=259,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=272,to=272,actions=[Add:type=Vertex,to=272,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=316,to=316,actions=[Add:type=Vertex,to=316,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=192,to=192,actions=[Add:type=Vertex,to=192,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=218,to=218,actions=[Add:type=Vertex,to=218,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=59,to=59,actions=[Add:type=Vertex,to=59,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=207,to=207,actions=[Add:type=Vertex,to=207,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=146,to=146,actions=[Add:type=Vertex,to=146,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=132,to=132,actions=[Add:type=Vertex,to=132,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=104,to=104,actions=[Add:type=Vertex,to=104,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=171,to=171,actions=[Add:type=Vertex,to=171,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=140,to=140,actions=[Add:type=Vertex,to=140,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=325,to=325,actions=[Add:type=Vertex,to=325,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=239,to=239,actions=[Add:type=Vertex,to=239,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=219,to=219,actions=[Add:type=Vertex,to=219,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=346,to=346,actions=[Add:type=Vertex,to=346,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=360,to=360,actions=[Add:type=Vertex,to=360,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=176,to=176,actions=[Add:type=Vertex,to=176,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=79,to=79,actions=[Add:type=Vertex,to=79,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=344,to=344,actions=[Add:type=Vertex,to=344,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=197,to=197,actions=[Add:type=Vertex,to=197,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=215,to=215,actions=[Add:type=Vertex,to=215,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=57,to=57,actions=[Add:type=Vertex,to=57,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=83,to=83,actions=[Add:type=Vertex,to=83,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=121,to=121,actions=[Add:type=Vertex,to=121,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=50,to=50,actions=[Add:type=Vertex,to=50,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=34,to=34,actions=[Add:type=Vertex,to=34,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=188,to=188,actions=[Add:type=Vertex,to=188,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=35,to=35,actions=[Add:type=Vertex,to=35,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=53,to=53,actions=[Add:type=Vertex,to=53,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=335,to=335,actions=[Add:type=Vertex,to=335,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=224,to=224,actions=[Add:type=Vertex,to=224,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=52,to=52,actions=[Add:type=Vertex,to=52,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=43,to=43,actions=[Add:type=Vertex,to=43,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=273,to=273,actions=[Add:type=Vertex,to=273,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=69,to=69,actions=[Add:type=Vertex,to=69,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=311,to=311,actions=[Add:type=Vertex,to=311,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=189,to=189,actions=[Add:type=Vertex,to=189,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=110,to=110,actions=[Add:type=Vertex,to=110,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=289,to=289,actions=[Add:type=Vertex,to=289,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=296,to=296,actions=[Add:type=Vertex,to=296,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=196,to=196,actions=[Add:type=Vertex,to=196,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=158,to=158,actions=[Add:type=Vertex,to=158,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=237,to=237,actions=[Add:type=Vertex,to=237,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=221,to=221,actions=[Add:type=Vertex,to=221,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=172,to=172,actions=[Add:type=Vertex,to=172,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=233,to=233,actions=[Add:type=Vertex,to=233,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=18,to=18,actions=[Add:type=Vertex,to=18,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=152,to=152,actions=[Add:type=Vertex,to=152,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=211,to=211,actions=[Add:type=Vertex,to=211,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=277,to=277,actions=[Add:type=Vertex,to=277,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=248,to=248,actions=[Add:type=Vertex,to=248,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=74,to=74,actions=[Add:type=Vertex,to=74,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=279,to=279,actions=[Add:type=Vertex,to=279,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=175,to=175,actions=[Add:type=Vertex,to=175,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=220,to=220,actions=[Add:type=Vertex,to=220,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=147,to=147,actions=[Add:type=Vertex,to=147,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=354,to=354,actions=[Add:type=Vertex,to=354,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=297,to=297,actions=[Add:type=Vertex,to=297,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=139,to=139,actions=[Add:type=Vertex,to=139,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=108,to=108,actions=[Add:type=Vertex,to=108,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=42,to=42,actions=[Add:type=Vertex,to=42,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=116,to=116,actions=[Add:type=Vertex,to=116,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=334,to=334,actions=[Add:type=Vertex,to=334,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=44,to=44,actions=[Add:type=Vertex,to=44,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=163,to=163,actions=[Add:type=Vertex,to=163,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=205,to=205,actions=[Add:type=Vertex,to=205,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=87,to=87,actions=[Add:type=Vertex,to=87,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=330,to=330,actions=[Add:type=Vertex,to=330,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=161,to=161,actions=[Add:type=Vertex,to=161,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=82,to=82,actions=[Add:type=Vertex,to=82,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=93,to=93,actions=[Add:type=Vertex,to=93,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=22,to=22,actions=[Add:type=Vertex,to=22,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=19,to=19,actions=[Add:type=Vertex,to=19,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=304,to=304,actions=[Add:type=Vertex,to=304,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=24,to=24,actions=[Add:type=Vertex,to=24,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=314,to=314,actions=[Add:type=Vertex,to=314,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=138,to=138,actions=[Add:type=Vertex,to=138,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=331,to=331,actions=[Add:type=Vertex,to=331,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=336,to=336,actions=[Add:type=Vertex,to=336,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=303,to=303,actions=[Add:type=Vertex,to=303,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=203,to=203,actions=[Add:type=Vertex,to=203,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=234,to=234,actions=[Add:type=Vertex,to=234,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=270,to=270,actions=[Add:type=Vertex,to=270,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=208,to=208,actions=[Add:type=Vertex,to=208,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=124,to=124,actions=[Add:type=Vertex,to=124,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=333,to=333,actions=[Add:type=Vertex,to=333,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=323,to=323,actions=[Add:type=Vertex,to=323,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=62,to=62,actions=[Add:type=Vertex,to=62,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=348,to=348,actions=[Add:type=Vertex,to=348,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=214,to=214,actions=[Add:type=Vertex,to=214,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=122,to=122,actions=[Add:type=Vertex,to=122,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=143,to=143,actions=[Add:type=Vertex,to=143,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=269,to=269,actions=[Add:type=Vertex,to=269,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=319,to=319,actions=[Add:type=Vertex,to=319,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=222,to=222,actions=[Add:type=Vertex,to=222,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=155,to=155,actions=[Add:type=Vertex,to=155,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=263,to=263,actions=[Add:type=Vertex,to=263,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=75,to=75,actions=[Add:type=Vertex,to=75,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=340,to=340,actions=[Add:type=Vertex,to=340,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=225,to=225,actions=[Add:type=Vertex,to=225,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=290,to=290,actions=[Add:type=Vertex,to=290,level=0,what=1,decision=true],[Trigger:event=CaptureMade,player=2],[Remove:type=Vertex,to=271]]
LEGAL MOVES LIST SIZE = 361
LEGAL MOVES LIST SIZE = 360
LEGAL MOVES LIST SIZE = 359
LEGAL MOVES LIST SIZE = 358
LEGAL MOVES LIST SIZE = 357
LEGAL MOVES LIST SIZE = 356
LEGAL MOVES LIST SIZE = 355
LEGAL MOVES LIST SIZE = 354
LEGAL MOVES LIST SIZE = 353
LEGAL MOVES LIST SIZE = 352
LEGAL MOVES LIST SIZE = 351
LEGAL MOVES LIST SIZE = 350
LEGAL MOVES LIST SIZE = 349
LEGAL MOVES LIST SIZE = 348
LEGAL MOVES LIST SIZE = 347
LEGAL MOVES LIST SIZE = 346
LEGAL MOVES LIST SIZE = 345
LEGAL MOVES LIST SIZE = 344
LEGAL MOVES LIST SIZE = 343
LEGAL MOVES LIST SIZE = 342
LEGAL MOVES LIST SIZE = 341
LEGAL MOVES LIST SIZE = 340
LEGAL MOVES LIST SIZE = 339
LEGAL MOVES LIST SIZE = 338
LEGAL MOVES LIST SIZE = 337
LEGAL MOVES LIST SIZE = 336
LEGAL MOVES LIST SIZE = 335
LEGAL MOVES LIST SIZE = 334
LEGAL MOVES LIST SIZE = 333
LEGAL MOVES LIST SIZE = 332
LEGAL MOVES LIST SIZE = 331
LEGAL MOVES LIST SIZE = 330
LEGAL MOVES LIST SIZE = 329
LEGAL MOVES LIST SIZE = 328
LEGAL MOVES LIST SIZE = 327
LEGAL MOVES LIST SIZE = 326
LEGAL MOVES LIST SIZE = 325
LEGAL MOVES LIST SIZE = 324
LEGAL MOVES LIST SIZE = 323
LEGAL MOVES LIST SIZE = 322
LEGAL MOVES LIST SIZE = 321
LEGAL MOVES LIST SIZE = 320
LEGAL MOVES LIST SIZE = 319
LEGAL MOVES LIST SIZE = 318
LEGAL MOVES LIST SIZE = 317
LEGAL MOVES LIST SIZE = 316
LEGAL MOVES LIST SIZE = 315
LEGAL MOVES LIST SIZE = 314
LEGAL MOVES LIST SIZE = 313
LEGAL MOVES LIST SIZE = 312
LEGAL MOVES LIST SIZE = 311
LEGAL MOVES LIST SIZE = 310
LEGAL MOVES LIST SIZE = 309
LEGAL MOVES LIST SIZE = 308
LEGAL MOVES LIST SIZE = 307
LEGAL MOVES LIST SIZE = 306
LEGAL MOVES LIST SIZE = 305
LEGAL MOVES LIST SIZE = 304
LEGAL MOVES LIST SIZE = 303
LEGAL MOVES LIST SIZE = 302
LEGAL MOVES LIST SIZE = 301
LEGAL MOVES LIST SIZE = 300
LEGAL MOVES LIST SIZE = 299
LEGAL MOVES LIST SIZE = 298
LEGAL MOVES LIST SIZE = 297
LEGAL MOVES LIST SIZE = 296
LEGAL MOVES LIST SIZE = 295
LEGAL MOVES LIST SIZE = 294
LEGAL MOVES LIST SIZE = 293
LEGAL MOVES LIST SIZE = 292
LEGAL MOVES LIST SIZE = 291
LEGAL MOVES LIST SIZE = 290
LEGAL MOVES LIST SIZE = 289
LEGAL MOVES LIST SIZE = 288
LEGAL MOVES LIST SIZE = 287
LEGAL MOVES LIST SIZE = 286
LEGAL MOVES LIST SIZE = 285
LEGAL MOVES LIST SIZE = 284
LEGAL MOVES LIST SIZE = 283
LEGAL MOVES LIST SIZE = 282
LEGAL MOVES LIST SIZE = 281
LEGAL MOVES LIST SIZE = 280
LEGAL MOVES LIST SIZE = 279
LEGAL MOVES LIST SIZE = 278
LEGAL MOVES LIST SIZE = 277
LEGAL MOVES LIST SIZE = 276
LEGAL MOVES LIST SIZE = 275
LEGAL MOVES LIST SIZE = 274
LEGAL MOVES LIST SIZE = 273
LEGAL MOVES LIST SIZE = 272
LEGAL MOVES LIST SIZE = 271
LEGAL MOVES LIST SIZE = 270
LEGAL MOVES LIST SIZE = 269
LEGAL MOVES LIST SIZE = 268
LEGAL MOVES LIST SIZE = 267
LEGAL MOVES LIST SIZE = 266
LEGAL MOVES LIST SIZE = 265
LEGAL MOVES LIST SIZE = 264
LEGAL MOVES LIST SIZE = 263
LEGAL MOVES LIST SIZE = 262
LEGAL MOVES LIST SIZE = 261
LEGAL MOVES LIST SIZE = 260
LEGAL MOVES LIST SIZE = 259
LEGAL MOVES LIST SIZE = 258
LEGAL MOVES LIST SIZE = 257
LEGAL MOVES LIST SIZE = 256
LEGAL MOVES LIST SIZE = 255
LEGAL MOVES LIST SIZE = 254
LEGAL MOVES LIST SIZE = 253
LEGAL MOVES LIST SIZE = 252
LEGAL MOVES LIST SIZE = 251
LEGAL MOVES LIST SIZE = 250
LEGAL MOVES LIST SIZE = 249
LEGAL MOVES LIST SIZE = 248
LEGAL MOVES LIST SIZE = 247
LEGAL MOVES LIST SIZE = 246
LEGAL MOVES LIST SIZE = 245
LEGAL MOVES LIST SIZE = 244
LEGAL MOVES LIST SIZE = 243
LEGAL MOVES LIST SIZE = 242
LEGAL MOVES LIST SIZE = 241
LEGAL MOVES LIST SIZE = 240
LEGAL MOVES LIST SIZE = 239
LEGAL MOVES LIST SIZE = 238
LEGAL MOVES LIST SIZE = 237
LEGAL MOVES LIST SIZE = 236
LEGAL MOVES LIST SIZE = 235
LEGAL MOVES LIST SIZE = 234
LEGAL MOVES LIST SIZE = 233
LEGAL MOVES LIST SIZE = 232
LEGAL MOVES LIST SIZE = 231
LEGAL MOVES LIST SIZE = 230
LEGAL MOVES LIST SIZE = 229
LEGAL MOVES LIST SIZE = 228
LEGAL MOVES LIST SIZE = 227
LEGAL MOVES LIST SIZE = 226
LEGAL MOVES LIST SIZE = 225
LEGAL MOVES LIST SIZE = 224
LEGAL MOVES LIST SIZE = 223
LEGAL MOVES LIST SIZE = 222
LEGAL MOVES LIST SIZE = 221
LEGAL MOVES LIST SIZE = 220
LEGAL MOVES LIST SIZE = 219
LEGAL MOVES LIST SIZE = 218
LEGAL MOVES LIST SIZE = 217
LEGAL MOVES LIST SIZE = 216
LEGAL MOVES LIST SIZE = 215
LEGAL MOVES LIST SIZE = 213
LEGAL MOVES LIST SIZE = 213
LEGAL MOVES LIST SIZE = 211
LEGAL MOVES LIST SIZE = 211
LEGAL MOVES LIST SIZE = 209
LEGAL MOVES LIST SIZE = 209
LEGAL MOVES LIST SIZE = 207
LEGAL MOVES LIST SIZE = 207
LEGAL MOVES LIST SIZE = 205
LEGAL MOVES LIST SIZE = 205
LEGAL MOVES LIST SIZE = 203
LEGAL MOVES LIST SIZE = 203
LEGAL MOVES LIST SIZE = 201
LEGAL MOVES LIST SIZE = 201
LEGAL MOVES LIST SIZE = 199
LEGAL MOVES LIST SIZE = 199
LEGAL MOVES LIST SIZE = 197
LEGAL MOVES LIST SIZE = 197
LEGAL MOVES LIST SIZE = 195
LEGAL MOVES LIST SIZE = 195
LEGAL MOVES LIST SIZE = 193
