game=../Common/res/lud/board/war/other/Atari Go.lud
START GAME OPTIONS
END GAME OPTIONS
RNG internal state=-67,-79,-94,-41,122,-11,67,-123
Move=[Move:mover=1,from=161,to=161,actions=[Add:type=Vertex,to=161,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=158,to=158,actions=[Add:type=Vertex,to=158,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=226,to=226,actions=[Add:type=Vertex,to=226,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=8,to=8,actions=[Add:type=Vertex,to=8,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=298,to=298,actions=[Add:type=Vertex,to=298,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=220,to=220,actions=[Add:type=Vertex,to=220,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=315,to=315,actions=[Add:type=Vertex,to=315,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=29,to=29,actions=[Add:type=Vertex,to=29,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=49,to=49,actions=[Add:type=Vertex,to=49,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=301,to=301,actions=[Add:type=Vertex,to=301,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=340,to=340,actions=[Add:type=Vertex,to=340,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=12,to=12,actions=[Add:type=Vertex,to=12,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=112,to=112,actions=[Add:type=Vertex,to=112,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=204,to=204,actions=[Add:type=Vertex,to=204,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=239,to=239,actions=[Add:type=Vertex,to=239,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=163,to=163,actions=[Add:type=Vertex,to=163,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=141,to=141,actions=[Add:type=Vertex,to=141,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=320,to=320,actions=[Add:type=Vertex,to=320,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=282,to=282,actions=[Add:type=Vertex,to=282,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=247,to=247,actions=[Add:type=Vertex,to=247,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=36,to=36,actions=[Add:type=Vertex,to=36,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=115,to=115,actions=[Add:type=Vertex,to=115,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=11,to=11,actions=[Add:type=Vertex,to=11,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=286,to=286,actions=[Add:type=Vertex,to=286,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=181,to=181,actions=[Add:type=Vertex,to=181,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=186,to=186,actions=[Add:type=Vertex,to=186,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=184,to=184,actions=[Add:type=Vertex,to=184,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=197,to=197,actions=[Add:type=Vertex,to=197,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=273,to=273,actions=[Add:type=Vertex,to=273,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=55,to=55,actions=[Add:type=Vertex,to=55,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=62,to=62,actions=[Add:type=Vertex,to=62,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=283,to=283,actions=[Add:type=Vertex,to=283,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=42,to=42,actions=[Add:type=Vertex,to=42,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=308,to=308,actions=[Add:type=Vertex,to=308,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=176,to=176,actions=[Add:type=Vertex,to=176,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=51,to=51,actions=[Add:type=Vertex,to=51,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=105,to=105,actions=[Add:type=Vertex,to=105,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=143,to=143,actions=[Add:type=Vertex,to=143,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=231,to=231,actions=[Add:type=Vertex,to=231,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=349,to=349,actions=[Add:type=Vertex,to=349,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=18,to=18,actions=[Add:type=Vertex,to=18,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=248,to=248,actions=[Add:type=Vertex,to=248,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=39,to=39,actions=[Add:type=Vertex,to=39,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=265,to=265,actions=[Add:type=Vertex,to=265,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=47,to=47,actions=[Add:type=Vertex,to=47,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=21,to=21,actions=[Add:type=Vertex,to=21,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=292,to=292,actions=[Add:type=Vertex,to=292,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=119,to=119,actions=[Add:type=Vertex,to=119,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=59,to=59,actions=[Add:type=Vertex,to=59,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=268,to=268,actions=[Add:type=Vertex,to=268,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=245,to=245,actions=[Add:type=Vertex,to=245,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=91,to=91,actions=[Add:type=Vertex,to=91,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=232,to=232,actions=[Add:type=Vertex,to=232,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=199,to=199,actions=[Add:type=Vertex,to=199,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=219,to=219,actions=[Add:type=Vertex,to=219,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=327,to=327,actions=[Add:type=Vertex,to=327,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=165,to=165,actions=[Add:type=Vertex,to=165,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=152,to=152,actions=[Add:type=Vertex,to=152,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=313,to=313,actions=[Add:type=Vertex,to=313,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=160,to=160,actions=[Add:type=Vertex,to=160,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=246,to=246,actions=[Add:type=Vertex,to=246,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=102,to=102,actions=[Add:type=Vertex,to=102,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=296,to=296,actions=[Add:type=Vertex,to=296,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=61,to=61,actions=[Add:type=Vertex,to=61,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=264,to=264,actions=[Add:type=Vertex,to=264,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=280,to=280,actions=[Add:type=Vertex,to=280,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=108,to=108,actions=[Add:type=Vertex,to=108,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=9,to=9,actions=[Add:type=Vertex,to=9,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=68,to=68,actions=[Add:type=Vertex,to=68,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=19,to=19,actions=[Add:type=Vertex,to=19,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=93,to=93,actions=[Add:type=Vertex,to=93,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=310,to=310,actions=[Add:type=Vertex,to=310,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=124,to=124,actions=[Add:type=Vertex,to=124,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=122,to=122,actions=[Add:type=Vertex,to=122,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=173,to=173,actions=[Add:type=Vertex,to=173,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=217,to=217,actions=[Add:type=Vertex,to=217,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=200,to=200,actions=[Add:type=Vertex,to=200,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=139,to=139,actions=[Add:type=Vertex,to=139,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=274,to=274,actions=[Add:type=Vertex,to=274,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=166,to=166,actions=[Add:type=Vertex,to=166,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=223,to=223,actions=[Add:type=Vertex,to=223,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=343,to=343,actions=[Add:type=Vertex,to=343,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=339,to=339,actions=[Add:type=Vertex,to=339,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=316,to=316,actions=[Add:type=Vertex,to=316,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=89,to=89,actions=[Add:type=Vertex,to=89,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=129,to=129,actions=[Add:type=Vertex,to=129,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=7,to=7,actions=[Add:type=Vertex,to=7,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=323,to=323,actions=[Add:type=Vertex,to=323,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=140,to=140,actions=[Add:type=Vertex,to=140,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=235,to=235,actions=[Add:type=Vertex,to=235,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=30,to=30,actions=[Add:type=Vertex,to=30,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=109,to=109,actions=[Add:type=Vertex,to=109,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=97,to=97,actions=[Add:type=Vertex,to=97,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=285,to=285,actions=[Add:type=Vertex,to=285,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=337,to=337,actions=[Add:type=Vertex,to=337,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=144,to=144,actions=[Add:type=Vertex,to=144,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=242,to=242,actions=[Add:type=Vertex,to=242,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=322,to=322,actions=[Add:type=Vertex,to=322,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=224,to=224,actions=[Add:type=Vertex,to=224,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=309,to=309,actions=[Add:type=Vertex,to=309,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=329,to=329,actions=[Add:type=Vertex,to=329,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=354,to=354,actions=[Add:type=Vertex,to=354,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=0,to=0,actions=[Add:type=Vertex,to=0,level=0,what=1,decision=true],[Trigger:event=CaptureMade,player=2],[Remove:type=Vertex,to=19]]
LEGAL MOVES LIST SIZE = 361
LEGAL MOVES LIST SIZE = 360
LEGAL MOVES LIST SIZE = 359
LEGAL MOVES LIST SIZE = 358
LEGAL MOVES LIST SIZE = 357
LEGAL MOVES LIST SIZE = 356
LEGAL MOVES LIST SIZE = 355
LEGAL MOVES LIST SIZE = 354
LEGAL MOVES LIST SIZE = 353
LEGAL MOVES LIST SIZE = 352
LEGAL MOVES LIST SIZE = 351
LEGAL MOVES LIST SIZE = 350
LEGAL MOVES LIST SIZE = 349
LEGAL MOVES LIST SIZE = 348
LEGAL MOVES LIST SIZE = 347
LEGAL MOVES LIST SIZE = 346
LEGAL MOVES LIST SIZE = 345
LEGAL MOVES LIST SIZE = 344
LEGAL MOVES LIST SIZE = 343
LEGAL MOVES LIST SIZE = 342
LEGAL MOVES LIST SIZE = 341
LEGAL MOVES LIST SIZE = 340
LEGAL MOVES LIST SIZE = 339
LEGAL MOVES LIST SIZE = 338
LEGAL MOVES LIST SIZE = 337
LEGAL MOVES LIST SIZE = 336
LEGAL MOVES LIST SIZE = 335
LEGAL MOVES LIST SIZE = 334
LEGAL MOVES LIST SIZE = 333
LEGAL MOVES LIST SIZE = 332
LEGAL MOVES LIST SIZE = 331
LEGAL MOVES LIST SIZE = 330
LEGAL MOVES LIST SIZE = 329
LEGAL MOVES LIST SIZE = 328
LEGAL MOVES LIST SIZE = 327
LEGAL MOVES LIST SIZE = 326
LEGAL MOVES LIST SIZE = 324
LEGAL MOVES LIST SIZE = 324
LEGAL MOVES LIST SIZE = 322
LEGAL MOVES LIST SIZE = 322
LEGAL MOVES LIST SIZE = 320
LEGAL MOVES LIST SIZE = 320
LEGAL MOVES LIST SIZE = 318
LEGAL MOVES LIST SIZE = 318
LEGAL MOVES LIST SIZE = 316
LEGAL MOVES LIST SIZE = 316
LEGAL MOVES LIST SIZE = 314
LEGAL MOVES LIST SIZE = 314
LEGAL MOVES LIST SIZE = 312
LEGAL MOVES LIST SIZE = 312
LEGAL MOVES LIST SIZE = 310
LEGAL MOVES LIST SIZE = 310
LEGAL MOVES LIST SIZE = 308
LEGAL MOVES LIST SIZE = 308
LEGAL MOVES LIST SIZE = 306
LEGAL MOVES LIST SIZE = 306
LEGAL MOVES LIST SIZE = 304
LEGAL MOVES LIST SIZE = 304
LEGAL MOVES LIST SIZE = 302
LEGAL MOVES LIST SIZE = 302
LEGAL MOVES LIST SIZE = 300
LEGAL MOVES LIST SIZE = 300
LEGAL MOVES LIST SIZE = 298
LEGAL MOVES LIST SIZE = 298
LEGAL MOVES LIST SIZE = 296
LEGAL MOVES LIST SIZE = 296
LEGAL MOVES LIST SIZE = 294
LEGAL MOVES LIST SIZE = 294
LEGAL MOVES LIST SIZE = 292
LEGAL MOVES LIST SIZE = 292
LEGAL MOVES LIST SIZE = 290
LEGAL MOVES LIST SIZE = 290
LEGAL MOVES LIST SIZE = 288
LEGAL MOVES LIST SIZE = 288
LEGAL MOVES LIST SIZE = 286
LEGAL MOVES LIST SIZE = 286
LEGAL MOVES LIST SIZE = 284
LEGAL MOVES LIST SIZE = 284
LEGAL MOVES LIST SIZE = 282
LEGAL MOVES LIST SIZE = 282
LEGAL MOVES LIST SIZE = 280
LEGAL MOVES LIST SIZE = 280
LEGAL MOVES LIST SIZE = 278
LEGAL MOVES LIST SIZE = 278
LEGAL MOVES LIST SIZE = 276
LEGAL MOVES LIST SIZE = 276
LEGAL MOVES LIST SIZE = 274
LEGAL MOVES LIST SIZE = 274
LEGAL MOVES LIST SIZE = 272
LEGAL MOVES LIST SIZE = 272
LEGAL MOVES LIST SIZE = 270
LEGAL MOVES LIST SIZE = 270
LEGAL MOVES LIST SIZE = 268
LEGAL MOVES LIST SIZE = 268
LEGAL MOVES LIST SIZE = 266
LEGAL MOVES LIST SIZE = 266
LEGAL MOVES LIST SIZE = 264
LEGAL MOVES LIST SIZE = 264
LEGAL MOVES LIST SIZE = 262
LEGAL MOVES LIST SIZE = 262
LEGAL MOVES LIST SIZE = 261
LEGAL MOVES LIST SIZE = 260
LEGAL MOVES LIST SIZE = 259
LEGAL MOVES LIST SIZE = 258
LEGAL MOVES LIST SIZE = 257
LEGAL MOVES LIST SIZE = 256
LEGAL MOVES LIST SIZE = 255
LEGAL MOVES LIST SIZE = 254
LEGAL MOVES LIST SIZE = 253
LEGAL MOVES LIST SIZE = 252
LEGAL MOVES LIST SIZE = 251
LEGAL MOVES LIST SIZE = 250
LEGAL MOVES LIST SIZE = 249
LEGAL MOVES LIST SIZE = 248
LEGAL MOVES LIST SIZE = 247
LEGAL MOVES LIST SIZE = 246
LEGAL MOVES LIST SIZE = 245
LEGAL MOVES LIST SIZE = 244
LEGAL MOVES LIST SIZE = 243
LEGAL MOVES LIST SIZE = 242
LEGAL MOVES LIST SIZE = 240
LEGAL MOVES LIST SIZE = 240
LEGAL MOVES LIST SIZE = 238
LEGAL MOVES LIST SIZE = 238
LEGAL MOVES LIST SIZE = 236
LEGAL MOVES LIST SIZE = 236
LEGAL MOVES LIST SIZE = 234
LEGAL MOVES LIST SIZE = 234
LEGAL MOVES LIST SIZE = 232
LEGAL MOVES LIST SIZE = 232
LEGAL MOVES LIST SIZE = 230
LEGAL MOVES LIST SIZE = 230
LEGAL MOVES LIST SIZE = 228
LEGAL MOVES LIST SIZE = 228
LEGAL MOVES LIST SIZE = 226
winner=1
endtype=NaturalEnd
rankings=0.0,1.0,2.0
SANDBOX=false
LUDII_VERSION=1.1.19
