game=../Common/res/lud/board/space/line/Keryo-Pente.lud
START GAME OPTIONS
END GAME OPTIONS
RNG internal state=-64,50,-18,23,53,5,-49,-32
Move=[Move:mover=2,from=102,to=102,actions=[Add:type=Vertex,to=102,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=296,to=296,actions=[Add:type=Vertex,to=296,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=77,to=77,actions=[Add:type=Vertex,to=77,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=252,to=252,actions=[Add:type=Vertex,to=252,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=326,to=326,actions=[Add:type=Vertex,to=326,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=237,to=237,actions=[Add:type=Vertex,to=237,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=158,to=158,actions=[Add:type=Vertex,to=158,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=234,to=234,actions=[Add:type=Vertex,to=234,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=297,to=297,actions=[Add:type=Vertex,to=297,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=201,to=201,actions=[Add:type=Vertex,to=201,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=8,to=8,actions=[Add:type=Vertex,to=8,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=304,to=304,actions=[Add:type=Vertex,to=304,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=65,to=65,actions=[Add:type=Vertex,to=65,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=133,to=133,actions=[Add:type=Vertex,to=133,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=10,to=10,actions=[Add:type=Vertex,to=10,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=29,to=29,actions=[Add:type=Vertex,to=29,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=108,to=108,actions=[Add:type=Vertex,to=108,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=48,to=48,actions=[Add:type=Vertex,to=48,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=106,to=106,actions=[Add:type=Vertex,to=106,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=187,to=187,actions=[Add:type=Vertex,to=187,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=95,to=95,actions=[Add:type=Vertex,to=95,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=166,to=166,actions=[Add:type=Vertex,to=166,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=88,to=88,actions=[Add:type=Vertex,to=88,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=275,to=275,actions=[Add:type=Vertex,to=275,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=318,to=318,actions=[Add:type=Vertex,to=318,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=242,to=242,actions=[Add:type=Vertex,to=242,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=53,to=53,actions=[Add:type=Vertex,to=53,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=28,to=28,actions=[Add:type=Vertex,to=28,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=292,to=292,actions=[Add:type=Vertex,to=292,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=260,to=260,actions=[Add:type=Vertex,to=260,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=241,to=241,actions=[Add:type=Vertex,to=241,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=46,to=46,actions=[Add:type=Vertex,to=46,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=327,to=327,actions=[Add:type=Vertex,to=327,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=117,to=117,actions=[Add:type=Vertex,to=117,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=76,to=76,actions=[Add:type=Vertex,to=76,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=19,to=19,actions=[Add:type=Vertex,to=19,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=169,to=169,actions=[Add:type=Vertex,to=169,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=183,to=183,actions=[Add:type=Vertex,to=183,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=149,to=149,actions=[Add:type=Vertex,to=149,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=291,to=291,actions=[Add:type=Vertex,to=291,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=138,to=138,actions=[Add:type=Vertex,to=138,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=159,to=159,actions=[Add:type=Vertex,to=159,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=298,to=298,actions=[Add:type=Vertex,to=298,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=212,to=212,actions=[Add:type=Vertex,to=212,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=62,to=62,actions=[Add:type=Vertex,to=62,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=202,to=202,actions=[Add:type=Vertex,to=202,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=328,to=328,actions=[Add:type=Vertex,to=328,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=350,to=350,actions=[Add:type=Vertex,to=350,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=207,to=207,actions=[Add:type=Vertex,to=207,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=80,to=80,actions=[Add:type=Vertex,to=80,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=164,to=164,actions=[Add:type=Vertex,to=164,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=353,to=353,actions=[Add:type=Vertex,to=353,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=128,to=128,actions=[Add:type=Vertex,to=128,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=100,to=100,actions=[Add:type=Vertex,to=100,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=6,to=6,actions=[Add:type=Vertex,to=6,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=197,to=197,actions=[Add:type=Vertex,to=197,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=244,to=244,actions=[Add:type=Vertex,to=244,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=348,to=348,actions=[Add:type=Vertex,to=348,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=16,to=16,actions=[Add:type=Vertex,to=16,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=168,to=168,actions=[Add:type=Vertex,to=168,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=96,to=96,actions=[Add:type=Vertex,to=96,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=69,to=69,actions=[Add:type=Vertex,to=69,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=89,to=89,actions=[Add:type=Vertex,to=89,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=228,to=228,actions=[Add:type=Vertex,to=228,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=145,to=145,actions=[Add:type=Vertex,to=145,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=245,to=245,actions=[Add:type=Vertex,to=245,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=140,to=140,actions=[Add:type=Vertex,to=140,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=15,to=15,actions=[Add:type=Vertex,to=15,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=2,to=2,actions=[Add:type=Vertex,to=2,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=303,to=303,actions=[Add:type=Vertex,to=303,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=156,to=156,actions=[Add:type=Vertex,to=156,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=139,to=139,actions=[Add:type=Vertex,to=139,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=301,to=301,actions=[Add:type=Vertex,to=301,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=346,to=346,actions=[Add:type=Vertex,to=346,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=355,to=355,actions=[Add:type=Vertex,to=355,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=186,to=186,actions=[Add:type=Vertex,to=186,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=25,to=25,actions=[Add:type=Vertex,to=25,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=313,to=313,actions=[Add:type=Vertex,to=313,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=184,to=184,actions=[Add:type=Vertex,to=184,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=221,to=221,actions=[Add:type=Vertex,to=221,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=258,to=258,actions=[Add:type=Vertex,to=258,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=334,to=334,actions=[Add:type=Vertex,to=334,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=68,to=68,actions=[Add:type=Vertex,to=68,level=0,what=2,decision=true],[Remove:type=Vertex,to=48],[SetScore:player=2,score=1,add=true],[Remove:type=Vertex,to=28],[SetScore:player=2,score=1,add=true]]
Move=[Move:mover=1,from=220,to=220,actions=[Add:type=Vertex,to=220,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=31,to=31,actions=[Add:type=Vertex,to=31,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=284,to=284,actions=[Add:type=Vertex,to=284,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=222,to=222,actions=[Add:type=Vertex,to=222,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=137,to=137,actions=[Add:type=Vertex,to=137,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=83,to=83,actions=[Add:type=Vertex,to=83,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=257,to=257,actions=[Add:type=Vertex,to=257,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=267,to=267,actions=[Add:type=Vertex,to=267,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=171,to=171,actions=[Add:type=Vertex,to=171,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=85,to=85,actions=[Add:type=Vertex,to=85,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=211,to=211,actions=[Add:type=Vertex,to=211,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=75,to=75,actions=[Add:type=Vertex,to=75,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=111,to=111,actions=[Add:type=Vertex,to=111,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=94,to=94,actions=[Add:type=Vertex,to=94,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=185,to=185,actions=[Add:type=Vertex,to=185,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=190,to=190,actions=[Add:type=Vertex,to=190,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=9,to=9,actions=[Add:type=Vertex,to=9,level=0,what=1,decision=true],[Remove:type=Vertex,to=10],[SetScore:player=1,score=1,add=true],[Remove:type=Vertex,to=11],[SetScore:player=1,score=1,add=true]]
Move=[Move:mover=2,from=226,to=226,actions=[Add:type=Vertex,to=226,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=283,to=283,actions=[Add:type=Vertex,to=283,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=51,to=51,actions=[Add:type=Vertex,to=51,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=344,to=344,actions=[Add:type=Vertex,to=344,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=121,to=121,actions=[Add:type=Vertex,to=121,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=56,to=56,actions=[Add:type=Vertex,to=56,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=316,to=316,actions=[Add:type=Vertex,to=316,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=272,to=272,actions=[Add:type=Vertex,to=272,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=338,to=338,actions=[Add:type=Vertex,to=338,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=1,to=1,actions=[Add:type=Vertex,to=1,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=146,to=146,actions=[Add:type=Vertex,to=146,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=165,to=165,actions=[Add:type=Vertex,to=165,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=103,to=103,actions=[Add:type=Vertex,to=103,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=243,to=243,actions=[Add:type=Vertex,to=243,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=151,to=151,actions=[Add:type=Vertex,to=151,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=179,to=179,actions=[Add:type=Vertex,to=179,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=104,to=104,actions=[Add:type=Vertex,to=104,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=70,to=70,actions=[Add:type=Vertex,to=70,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=40,to=40,actions=[Add:type=Vertex,to=40,level=0,what=2,decision=true]]
Move=[Move:mover=1,from=248,to=248,actions=[Add:type=Vertex,to=248,level=0,what=1,decision=true]]
Move=[Move:mover=2,from=45,to=45,actions=[Add:type=Vertex,to=45,level=0,what=2,decision=true]]
LEGAL MOVES LIST SIZE = 1
LEGAL MOVES LIST SIZE = 360
LEGAL MOVES LIST SIZE = 359
LEGAL MOVES LIST SIZE = 358
LEGAL MOVES LIST SIZE = 357
LEGAL MOVES LIST SIZE = 356
LEGAL MOVES LIST SIZE = 355
LEGAL MOVES LIST SIZE = 354
LEGAL MOVES LIST SIZE = 353
LEGAL MOVES LIST SIZE = 352
LEGAL MOVES LIST SIZE = 351
LEGAL MOVES LIST SIZE = 350
LEGAL MOVES LIST SIZE = 349
LEGAL MOVES LIST SIZE = 348
LEGAL MOVES LIST SIZE = 347
LEGAL MOVES LIST SIZE = 346
LEGAL MOVES LIST SIZE = 345
LEGAL MOVES LIST SIZE = 344
LEGAL MOVES LIST SIZE = 343
LEGAL MOVES LIST SIZE = 342
LEGAL MOVES LIST SIZE = 341
LEGAL MOVES LIST SIZE = 340
LEGAL MOVES LIST SIZE = 339
LEGAL MOVES LIST SIZE = 338
LEGAL MOVES LIST SIZE = 337
LEGAL MOVES LIST SIZE = 336
LEGAL MOVES LIST SIZE = 335
LEGAL MOVES LIST SIZE = 334
LEGAL MOVES LIST SIZE = 333
LEGAL MOVES LIST SIZE = 332
LEGAL MOVES LIST SIZE = 331
LEGAL MOVES LIST SIZE = 330
LEGAL MOVES LIST SIZE = 329
LEGAL MOVES LIST SIZE = 328
LEGAL MOVES LIST SIZE = 327
LEGAL MOVES LIST SIZE = 326
LEGAL MOVES LIST SIZE = 325
LEGAL MOVES LIST SIZE = 324
LEGAL MOVES LIST SIZE = 323
LEGAL MOVES LIST SIZE = 322
LEGAL MOVES LIST SIZE = 321
LEGAL MOVES LIST SIZE = 320
LEGAL MOVES LIST SIZE = 319
LEGAL MOVES LIST SIZE = 318
LEGAL MOVES LIST SIZE = 317
LEGAL MOVES LIST SIZE = 316
LEGAL MOVES LIST SIZE = 315
LEGAL MOVES LIST SIZE = 314
LEGAL MOVES LIST SIZE = 313
LEGAL MOVES LIST SIZE = 312
LEGAL MOVES LIST SIZE = 311
LEGAL MOVES LIST SIZE = 310
LEGAL MOVES LIST SIZE = 309
LEGAL MOVES LIST SIZE = 308
LEGAL MOVES LIST SIZE = 307
LEGAL MOVES LIST SIZE = 306
LEGAL MOVES LIST SIZE = 305
LEGAL MOVES LIST SIZE = 304
LEGAL MOVES LIST SIZE = 303
LEGAL MOVES LIST SIZE = 302
LEGAL MOVES LIST SIZE = 301
LEGAL MOVES LIST SIZE = 300
LEGAL MOVES LIST SIZE = 299
LEGAL MOVES LIST SIZE = 298
LEGAL MOVES LIST SIZE = 297
LEGAL MOVES LIST SIZE = 296
LEGAL MOVES LIST SIZE = 295
LEGAL MOVES LIST SIZE = 294
LEGAL MOVES LIST SIZE = 293
LEGAL MOVES LIST SIZE = 292
LEGAL MOVES LIST SIZE = 291
LEGAL MOVES LIST SIZE = 290
LEGAL MOVES LIST SIZE = 289
LEGAL MOVES LIST SIZE = 288
LEGAL MOVES LIST SIZE = 287
LEGAL MOVES LIST SIZE = 286
LEGAL MOVES LIST SIZE = 285
LEGAL MOVES LIST SIZE = 284
LEGAL MOVES LIST SIZE = 283
LEGAL MOVES LIST SIZE = 282
LEGAL MOVES LIST SIZE = 281
LEGAL MOVES LIST SIZE = 280
LEGAL MOVES LIST SIZE = 279
LEGAL MOVES LIST SIZE = 278
LEGAL MOVES LIST SIZE = 277
LEGAL MOVES LIST SIZE = 276
LEGAL MOVES LIST SIZE = 275
LEGAL MOVES LIST SIZE = 274
LEGAL MOVES LIST SIZE = 273
LEGAL MOVES LIST SIZE = 272
LEGAL MOVES LIST SIZE = 271
LEGAL MOVES LIST SIZE = 270
LEGAL MOVES LIST SIZE = 269
LEGAL MOVES LIST SIZE = 268
LEGAL MOVES LIST SIZE = 267
LEGAL MOVES LIST SIZE = 266
LEGAL MOVES LIST SIZE = 265
LEGAL MOVES LIST SIZE = 264
LEGAL MOVES LIST SIZE = 263
LEGAL MOVES LIST SIZE = 262
LEGAL MOVES LIST SIZE = 261
LEGAL MOVES LIST SIZE = 260
LEGAL MOVES LIST SIZE = 259
LEGAL MOVES LIST SIZE = 258
LEGAL MOVES LIST SIZE = 257
LEGAL MOVES LIST SIZE = 256
LEGAL MOVES LIST SIZE = 255
LEGAL MOVES LIST SIZE = 254
LEGAL MOVES LIST SIZE = 253
LEGAL MOVES LIST SIZE = 252
LEGAL MOVES LIST SIZE = 253
LEGAL MOVES LIST SIZE = 252
LEGAL MOVES LIST SIZE = 251
LEGAL MOVES LIST SIZE = 250
LEGAL MOVES LIST SIZE = 249
LEGAL MOVES LIST SIZE = 248
LEGAL MOVES LIST SIZE = 247
LEGAL MOVES LIST SIZE = 246
LEGAL MOVES LIST SIZE = 245
LEGAL MOVES LIST SIZE = 244
LEGAL MOVES LIST SIZE = 243
LEGAL MOVES LIST SIZE = 242
LEGAL MOVES LIST SIZE = 241
LEGAL MOVES LIST SIZE = 240
LEGAL MOVES LIST SIZE = 239
LEGAL MOVES LIST SIZE = 238
LEGAL MOVES LIST SIZE = 237
LEGAL MOVES LIST SIZE = 238
LEGAL MOVES LIST SIZE = 237
LEGAL MOVES LIST SIZE = 236
LEGAL MOVES LIST SIZE = 235
LEGAL MOVES LIST SIZE = 234
LEGAL MOVES LIST SIZE = 233
LEGAL MOVES LIST SIZE = 232
LEGAL MOVES LIST SIZE = 231
LEGAL MOVES LIST SIZE = 230
LEGAL MOVES LIST SIZE = 229
LEGAL MOVES LIST SIZE = 228
LEGAL MOVES LIST SIZE = 227
LEGAL MOVES LIST SIZE = 226
LEGAL MOVES LIST SIZE = 225
LEGAL MOVES LIST SIZE = 224
LEGAL MOVES LIST SIZE = 223
LEGAL MOVES LIST SIZE = 222
LEGAL MOVES LIST SIZE = 221
LEGAL MOVES LIST SIZE = 220
LEGAL MOVES LIST SIZE = 219
LEGAL MOVES LIST SIZE = 218
winner=2
endtype=NaturalEnd
rankings=0.0,2.0,1.0
SANDBOX=false
LUDII_VERSION=1.1.19
